Stage Name,Full Name,Korean Name,K Stage Name,Date of Birth,Group,Debut,Company,Country,Second Country,Height,Weight,Birthplace,Other Group,Former Group,Gender,Debut_Year,is_foreign
Andy,Lui Chunyeung,루이쯔양,앤디,6/10/1994,7 O'clock,26/08/2014,Jungle,Hong Kong,,,,,,,M,2014.0,True
Andy,Lee Sunho,이선호,앤디,21/01/1981,Shinhwa,24/03/1998,SM| Good| Shinhwa,South Korea,,175.0,62.0,Seoul,,,M,1998.0,False
Anne,Lee Seoyoung,이서영,앤,17/10/2000,GWSN,5/09/2018,Kiwi Pop,South Korea,,,,,,,F,2018.0,False
Anthony,Anthony Lo,엔써니 루오,엔써니,12/03/1998,VARSITY,5/01/2017,GKC,China,USA,179.0,,,,,M,2017.0,True
Ara,Lee Yunji,이윤지,아라,23/01/2002,ILY:1,4/04/2022,FC ENM,South Korea,,158.0,,,,,F,2022.0,False
A-ra,Choi Eunji,최은지,아라,25/07/2003,Girls' World,20/06/2002,Liz,South Korea,,158.0,,Seoul,,,F,2002.0,False
Aran,Jeong Eunah,정은아,아란,11/10/2004,FIFTY FIFTY,18/11/2022,ATTRAKT,South Korea,,162.0,44.0,,,,F,2022.0,False
Arang,Park Yerim,박예림,아랑,22/01/2001,Pink Fantasy,28/10/2018,My Doll,South Korea,,167.0,49.0,,,,F,2018.0,False
Areum,Kim Daun,김다운,아름,31/01/1998,AREAL,21/08/2020,JZ Factory,South Korea,,,,,,Rose Finger,F,2020.0,False
Ari,Kim Sunyoung,김선영,아리,23/10/1994,Tahiti,23/06/2012,J-line,South Korea,,,,Daegu,,,F,2012.0,False
Aria,Baby Gauthami,베이비 고타미,아리아,12/03/2003,X:IN,11/04/2023,Escrow,India,,,,,,,F,2023.0,True
Arie,Jeon Minjae,전민재,아리,7/04/2000,MIXX,2/05/2016,Chiko,South Korea,,163.0,45.0,,,,F,2016.0,False
Arin,Choi Yewon,최예원,아린,18/06/1999,Oh My Girl,21/04/2015,WM,South Korea,,163.0,47.0,Busan,,,F,2015.0,False
Aron,Kwak Youngmin,곽영민,아론,21/05/1993,NU'EST,15/03/2012,Pledis,South Korea,USA,,,California,NU'EST W,,M,2012.0,False
Arthur,Jang Yunho,장윤호,아서,15/04/2000,Kingdom,18/02/2021,GF,South Korea,,176.0,57.0,,,VARSITY,M,2021.0,False
Asahi,Hanada Asahi,하나다 아사히,아사히,20/08/2001,Treasure,7/08/2020,YG,Japan,,,,,,,M,2020.0,True
Ashley,Ashley Choi,애슐리 최,애슐리,9/11/1991,Ladies' Code,7/03/2013,Polaris,South Korea,USA,,,Incheon,,,F,2013.0,False
Aurora,Yang Lan,양안,오로라,14/01/1997,NATURE,3/08/2018,n.CH,China,,,,,,,F,2018.0,True
Ayamy,Suzuki Ayami,스즈키 아야미,아야미,15/07/2000,Bling Bling,17/11/2020,Major9,Japan,,,,,,,F,2020.0,True
Ayden,Kwon Yejun,권예준,에이든,24/01/2005,EPEX,8/06/2021,C9,South Korea,,174.0,55.0,,,,M,2021.0,False
Ayeon,Son Minji,손민지,아연,29/09/2002,Saturday,18/07/2018,SD,South Korea,,162.0,47.0,,,,F,2018.0,False
Ayno,Noh Yoonho,노윤호,에이노,1/05/1996,VAV,31/10/2015,A team,South Korea,,183.0,61.0,,,,M,2015.0,False
B.S,Lee Youngsoo,이영수,비에스,14/04/1995,14U,17/04/2017,BG,South Korea,,,,,,,M,2017.0,False
Babysoul,Lee Soojung,이수정,베이비소울,6/07/1992,Lovelyz,17/11/2014,Woollim,South Korea,,158.0,41.0,Gwangju,,,F,2014.0,False
Bada,Kim Bada,김바다,바다,28/05/2002,Hinapia,3/11/2019,Alseulbit,South Korea,,162.0,49.0,,,,F,2019.0,False
Bae,Bae Jinsol,배진솔,배이,28/12/2004,NMIXX,22/02/2022,JYP,South Korea,,,,,,,F,2022.0,False
Baek Seung,Kim Hyunwoo,김현우,백승,5/10/2004,EPEX,8/06/2021,C9,South Korea,,186.0,64.0,Seoul,,,M,2021.0,False
Baekah,Kim Sua,김수아,백아,24/10/1999,XUM,22/09/2020,A100,South Korea,,,,,,NeonPunch,F,2020.0,False
Baekgyeul,Baek Sunwoo,백결,백선우,1/12/1999,E'LAST,9/06/2020,E Entertainment,South Korea,,180.0,61.0,,,,M,2020.0,False
Baekho,Kang Dongho,강동호,백호,21/07/1995,NU'EST,15/03/2012,Pledis,South Korea,,,,Jeju,NU'EST W,,M,2012.0,False
Baekhyun,Byun Baekhyun,변백현,백현,6/05/1992,EXO,8/04/2012,SM,South Korea,,174.0,58.0,Wonmi,EXO-CBX| SuperM,,M,2012.0,False
Bahiyyih,Huening Bahiyyih,휴닝바히에,바히에,27/07/2004,Kep1er,1/03/2022,WakeOne,USA,South Korea,166.0,,,,,F,2022.0,True
Bain,Song Byeonghee,송병희,배인,4/05/2001,JUST B,30/06/2021,Bluedot,South Korea,,,,,,,M,2021.0,False
BamBam,Kunpimook Bhuwakul,꾼삐묵 부와꾼,뱀뱀,2/05/1997,GOT7,16/01/2014,JYP,Thailand,,170.0,52.0,Bangkok,,,M,2014.0,True
Bang Chan,Bang Chan,방찬,방찬,3/10/1997,Stray Kids,25/03/2018,JYP,Australia,South Korea,,,Sydney,3RACHA,,M,2018.0,True
Bao,Bae Sungyeob,배성엽,바오,12/05/1996,XEED,1/12/2022,Nature Space,South Korea,,182.0,63.0,,,LUCENTE,M,2022.0,False
B-Bomb,Lee Minhyuk,이민혁,비범,14/12/1990,Block B,15/04/2011,KQ,South Korea,,178.0,60.0,Seoul,Bastarz,,M,2011.0,False
BC,Jin Sungho,진성호,비시,18/07/1994,1TEAM,27/03/2019,LiveWorks,South Korea,,,,,,,M,2019.0,False
BEL,Choi Sunghoon,최성훈,벨,21/05/2000,DUSTIN,6/01/2020,LPA,South Korea,,,,,,,M,2020.0,False
Belle,Jin Hyeonjoo,진현주,벨,3/11/2001,Cignature,4/02/2020,C9,South Korea,,,,Goyang,,Good Day,F,2020.0,False
Benji,Baek Jaewook,배제욱,벤지,3/05/1992,B.I.G,9/07/2014,GH,USA,South Korea,183.0,72.0,Indianapolis,,,M,2014.0,True
Beomgyu,Choi Beomgyu,최범규,범규,13/03/2001,TXT,4/03/2019,Big Hit,South Korea,,,,,,,M,2019.0,False
Bessie,Kim Susanna,김수산나,베시,15/07/2004,Lapillus,22/06/2022,MLD,South Korea,,,,Changwon,,,F,2022.0,False
Bian,Yu Jiwon,유지원,비안,13/02/2001,MAJORS,9/03/2021,ANS,South Korea,,,,,,ANS,F,2021.0,False
Bic,Nam Seungmin,남승민,빅,25/04/2001,MCND,27/02/2020,TOP Media,South Korea,,,,,,,M,2020.0,False
Bin,Kwon Soobin,김수빈,빈,28/10/1993,Hot Blood Youth,17/05/2017,FNC,South Korea,,,,,,,M,2017.0,False
Bit,No Minjae,노민재,빛,21/07/2004,BAE173,19/11/2020,PocketDol,South Korea,,,,,,,M,2020.0,False
Bitsaeon,Kim Sangyeon,김상연,빛새온,4/06/1995,MONT,14/05/2014,Starship,South Korea,,181.0,60.0,,,,M,2014.0,False
Bitto,Lee Changhyun,이창현,비토,24/08/1996,UP10TION,10/09/2015,TOP Media,South Korea,,,,Dongducheon,,,M,2015.0,False
B-Joo,Kim Byungjoo,김병주,비주,8/01/1994,Topp Dogg,1/04/2020,n.CH,South Korea,,,,Seoul,,,M,2020.0,False
Blue,Jung Gahee,정가희,파랑,18/01/1994,Pungdeng-E,11/12/2013,DOMA,South Korea,,161.0,,Gwangju,,,F,2013.0,False
BM,Matthew Kim,매튜김,비엠,20/10/1992,KARD,29/03/2007,DSP,South Korea,,,,,,,M,2007.0,False
Boa,Kim Boah,김보아,보아,14/01/1987,KEEMBO,10/04/2020,ARA-LINE,South Korea,,,,,,SPICA,F,2020.0,False
Bobby,Kim Jiwon,김지원,바비,21/12/1995,iKON,15/09/2015,YG,South Korea,USA,,,Seoul,,,M,2015.0,False
Boeun,Park Boeun,박보은,보은,11/02/2008,CLASS:y,5/05/2022,Universal,South Korea,,155.0,,,,,F,2022.0,False
Bohyung,Kim Bohyung,김보형,보형,31/03/1991,KEEMBO,10/04/2020,ARA-LINE,South Korea,,,,,SPICA-S,SPICA,F,2020.0,False
Bokeun,Kim Bokeun,김복은,복은,12/10/1994,SIGNAL,28/08/2019,J-Star,South Korea,,,,,,,M,2019.0,False
Bom,Park Bom,박봄,봄,24/03/1984,2NE1,6/05/2009,YG,South Korea,,,,,,,F,2009.0,False
Bomi,Yoon Bomi,윤보미,보미,13/08/1993,Apink,19/04/2011,Plan A,South Korea,,163.0,,Suwon,Chobom,,F,2011.0,False
Bomin,Choi Bomin,최보민,보민,24/08/2000,Golden Child,28/08/2017,Woollim,South Korea,,,,,,,M,2017.0,False
Bomin,Kim Bomin,김보민,보민,24/09/2001,RedSquare,19/05/2020,About,South Korea,,,,Gwangju,,Good Day,F,2020.0,False
Bona,Kim Jiyeon,김지연,보나,19/08/1995,WJSN,25/02/2016,Starship,South Korea,,163.0,,Daegu,WJSN The Black,,F,2016.0,False
Boni,Choi Euijeong,최의정,보니,30/10/1999,Dreamnote,7/11/2018,iME,South Korea,,160.0,45.0,,,,F,2018.0,False
Bora,Kim Bora,김보라,보라,3/03/1999,Cherry Bullet,21/01/2019,FNC,South Korea,,,,,,,F,2019.0,False
Bora,Yoon Bora,윤보라,보라,30/12/1989,SISTAR,6/03/2010,Starship,South Korea,,,,,SISTAR19,,F,2010.0,False
Bullet,Jin Junwoo,진준우,블릿,2/12/1995,VARSITY,5/01/2017,GKC,South Korea,,182.0,65.0,Seoul,,,M,2017.0,False
BX,Lee Byounggon,이병곤,비엑스,5/03/1998,CIX,23/07/2019,C9,South Korea,,180.0,61.0,Incheon,,,M,2019.0,False
Byeongkwan,Kim Byeongkwan,김병관,병관,13/08/1996,A.C.E,23/05/2017,Beat,South Korea,,,,Seoul,,,M,2017.0,False
Byungchan,Choi Byungchan,최병찬,병찬,12/11/1997,VICTON,9/11/2016,Plan A,South Korea,,,,,,,M,2016.0,False
C.A.P,Bang Minsoo,방민수,캡,4/11/1992,Teen Top,9/07/2010,TOP Media,South Korea,,,,Seongnam,,,M,2010.0,False
Cao Lu,Cao Lu,차오루,차오루,30/08/1987,Fiestar,31/08/2012,LOEN,China,,166.0,,Zhangjiajie,,,F,2012.0,True
Casper,Chu Xiaoxiang,저효상,캐스퍼,20/03/1991,CROSS GENE,8/07/2012,Amuse,China,,176.0,66.0,Shanghai,,,M,2012.0,True
Castle J,Son Sangjoon,손성준,캐슬제이,31/05/1999,MCND,27/02/2020,TOP Media,South Korea,,,,,,,M,2020.0,False
Cha Hoon,Cha Hoon,차훈,차훈,12/07/1994,N.Flying,20/05/2015,FNC,South Korea,,,,Seoul,,,M,2015.0,False
Chaebin,Choi Yoobin,최유빈,채빈,28/07/1999,NATURE,3/08/2018,n.CH,South Korea,,,,,,,F,2018.0,False
Chaehyun,Kim Chaehyun,김채현,채현,29/11/1999,Bonus Baby,1/01/2017,Maroo,South Korea,,163.0,,,,,F,2017.0,False
Chaehyun,Kim Chaehyun,김채현,채현,26/04/2002,Kep1er,1/03/2022,WakeOne,South Korea,,160.0,,,,,F,2022.0,False
Chaein,Lee Chaeyoung,이채영,채인,5/12/2002,Purple Kiss,15/03/2021,RBW,South Korea,,,,,,,F,2021.0,False
Chaejeong,Lee Chaejeong,이채정,채정,26/08/1999,ALICE,1/07/2017,IOK Company,South Korea,,164.0,48.0,,,,F,2017.0,False
Chaejin,Chae Jinseok,채진석,채진,26/12/1995,MYNAME,27/10/2011,H2,South Korea,,,,Seoul,,,M,2011.0,False
Chaekyung,Yoon Chaekyung,윤채경,채경,7/07/1996,APRIL,24/08/2015,DSP,South Korea,,160.0,45.0,Incheon,C.I.V.A| I.B.I,Puretty,F,2015.0,False
Chaelin,Lee Chaelin,이채린,채린,20/10/1999,FANATICS,6/08/2019,FENT,South Korea,,162.0,47.0,,,,F,2019.0,False
Chaerin,Park Chaerin,박채린,채린,13/03/2002,Cherry Bullet,21/01/2019,FNC,South Korea,,,,,,,F,2019.0,False
Chaerin,Park Chaerin,박채린,채린,31/03/2003,ICHILLIN',8/09/2021,KM,South Korea,,,,,,,F,2021.0,False
Chaeryeong,Lee Chaeryeong,이채령,채령,5/06/2001,ITZY,12/02/2019,JYP,South Korea,,,,Yongin,,,F,2019.0,False
Chaesol,Maeng Chaesol,맹채솔,채솔,14/07/1998,Cignature,4/02/2020,C9,South Korea,,,,Yeosu,,Good Day,F,2020.0,False
Chaewon,Kim Chaewon,김채원,채원,8/11/1997,APRIL,24/08/2015,DSP,South Korea,,,,Gongju,,,F,2015.0,False
Chaewon,Yoon Chaewon,윤채원,채원,4/06/2003,CLASS:y,5/05/2022,Universal,South Korea,,163.0,,,,,F,2022.0,False
Chaewon,Kim Chaewon,김채원,채원,1/08/2000,LE SSERAFIM,2/05/2022,Source,South Korea,,,,Seoul,,IZ*ONE,F,2022.0,False
Chaewon,Lee Chaewon,이채원,채원,18/03/2000,Maka Maka,4/08/2020,Dreamus,South Korea,,,,,,,F,2020.0,False
ChaeY,Song Chaeyeon,송채연,채이,6/01/2003,CRAXY,3/03/2020,SAITEINMENT,South Korea,,,,,,,F,2020.0,False
Chaeyeon,Jung Chaeyeon,정채연,채연,1/12/1997,DIA,14/07/2015,MBK,South Korea,,165.0,49.0,Suncheon,,I.O.I,F,2015.0,False
Chaeyeon,Lee Chaeyeon,이채연,채연,11/01/2000,IZ*ONE,29/10/2018,Off The Record,South Korea,,,,Yongin,,,F,2018.0,False
Chaeyeon,Kim Chaeyeon,김채연,채연,4/12/2004,tripleS,13/02/2023,MODHAUS,South Korea,,,,,,Busters,F,2023.0,False
Chaeyoung,Lee Chaeyoung,이채영,채영,14/05/2000,fromis_9,24/01/2018,Off The Record,South Korea,,,,Pohang,,,F,2018.0,False
Chaeyoung,Son Chaeyoung,손채영,채영,23/04/1999,Twice,20/10/2015,JYP,South Korea,,159.0,,Seoul,,,F,2015.0,False
Chahee,Park Sooyoung,박수영,차희,24/03/1996,MELODYDAY,25/09/2019,KD,South Korea,,167.0,,,,,F,2019.0,False
Chan,Kang Yoochan,강유찬,찬,31/12/1997,A.C.E,23/05/2017,Beat,South Korea,,,,Jeju,UNB,,M,2017.0,False
Chan,Jung Chanwoo,정찬우,찬,26/01/1998,iKON,15/09/2015,YG,South Korea,,,,Yongin,,,M,2015.0,False
Chan,Jo Chanhyuk,조찬혁,찬,8/12/1999,TOO,1/04/2020,n.CH,South Korea,,,,,,,M,2020.0,False
Changbin,Seo Changbin,서창빈,창빈,11/08/1999,Stray Kids,25/03/2018,JYP,South Korea,,,,Yongin,3RACHA,,M,2018.0,False
Changgyu,Song Changgyu,송창규,창규,6/07/1993,UNVS,23/02/2020,CHITWN,South Korea,,,,,,,M,2020.0,False
Changjo,Choi Jonghyun,최종현,창조,16/11/1995,Teen Top,9/07/2010,TOP Media,South Korea,,,,Chuncheon,,,M,2010.0,False
Changsub,Lee Changsub,이창섭,창섭,26/02/1991,BtoB,21/03/2012,Cube,South Korea,,177.0,64.0,Suwon,,,M,2012.0,False
Changsun,Lee Changsun,이창선,창선,17/03/1996,24K,6/09/2012,Choeun,South Korea,,179.0,58.0,,,,M,2012.0,False
Changuk,Joo Changuk,주창욱,창욱,25/07/2001,DRIPPIN,26/10/2020,Woollim,South Korea,,184.0,59.0,,,,M,2020.0,False
Chani,Kang Chanhee,강찬희,찬희,17/01/2000,SF9,5/10/2016,FNC,South Korea,,,,,,,M,2016.0,False
Chanmi,Kim Chanmi,김찬미,찬미,19/06/1996,AoA,30/07/2012,FNC,South Korea,,166.0,47.0,Gumi,,,F,2012.0,False
Chansung,Hwang Chansung,황찬성,찬성,11/02/1990,2PM,4/07/2008,JYP,South Korea,,184.0,75.0,Seoul,,,M,2008.0,False
Chanty,Maria Chantal Videla,마리아 샹탈 비델라,샨티,15/12/2002,Lapillus,22/06/2022,MLD,Philippines,Argentina,170.0,,Manila,,,F,2022.0,True
Chanyeol,Park Chanyeol,박찬열,찬열,27/11/1992,EXO,8/04/2012,SM,South Korea,,185.0,70.0,Seoul,,,M,2012.0,False
Chanyong,Kim Chanyong,김찬용,찬용,29/04/1993,100%,18/09/2012,TOP Media,South Korea,,,,Suwon,,,M,2012.0,False
Chanyoung,Kim Chanyoung,김찬영,찬영,20/11/2000,D-CRUNCH,6/08/2018,All-S,South Korea,,,,,,,M,2018.0,False
Chen,Kim Jongdae,김종대,첸,21/09/1992,EXO,8/04/2012,SM,South Korea,,173.0,64.0,Silheung,EXO-CBX,,M,2012.0,False
Chenle,Zhong Chenle,중천러,천러,22/11/2001,NCT,9/04/2016,SM,China,,,,Shanghai,NCT Dream,,M,2016.0,True
Cheongeum,Jang Cheongeum,장청음,청음,19/06/1996,Ho1iday,26/04/2013,LOEN,South Korea,,,,,,,F,2013.0,False
Chi.u,Lee Jaeyi,이재이,치유,16/08/1998,X:IN,11/04/2023,Escrow,South Korea,,,,,,,F,2023.0,False
Chiayi,Li Chiayi,지아이,지아이,22/01/2000,FANATICS,6/08/2019,FENT,Taiwan,,164.0,,,FANATICS FLAVOR,,F,2019.0,True
Chihoon,Choi Chihoon,최치훈,치훈,27/04/1999,TOO,1/04/2020,n.CH,South Korea,,,,,,,M,2020.0,False
Chiwoo,Guk Seungjun,국승준,치우,2/09/2002,Kingdom,18/02/2021,GF,South Korea,,,,,,,M,2021.0,False
Chloe,Yun Jiwon,윤지원,클로이,6/01/2001,Cignature,4/02/2020,C9,South Korea,,163.0,,Seoul,,,F,2020.0,False
Choa,Heo Minjin,허민진,초아,12/07/1990,Crayon Pop,18/07/2012,Chrome,South Korea,,161.0,,Seoul,,,F,2012.0,False
Choerry,Choi Yerim,최예림,최리,4/06/2001,LOONA,20/08/2018,Blockberry,South Korea,,,,,Loona Odd Eye Circle| ARTMS,,F,2018.0,False
Choi In,Choi In,최인,최인,11/02/1996,E'LAST,9/06/2020,E Entertainment,South Korea,,170.0,50.0,,,,M,2020.0,False
Choi Jiann,Choi Jaewoo,최재우,최지안,30/09/1997,Newkidd,25/04/2019,J-FLO,South Korea,,175.0,,,,,M,2019.0,False
Chorong,Park Chorong,박초롱,초롱,3/03/1991,Apink,19/04/2011,Plan A,South Korea,,165.0,,Chungwongoon,Chobom,,F,2011.0,False
Chowon,Kim Chowon,김초원,초원,18/08/2005,ICHILLIN',8/09/2021,KM,South Korea,,,,,,,F,2021.0,False
Chowon,Han Chowon,한초원,초원,16/09/2002,LIGHTSUM,10/06/2021,Cube,South Korea,,168.0,50.0,Seoul,,,F,2021.0,False
Choyeon,Kim Choyeon,김초연,초연,1/08/2001,bugAboo,25/10/2021,A team,South Korea,,164.0,44.0,,,,F,2021.0,False
Chris,Han Chris,한 크리스,크리스,19/11/2002,BLITZERS,12/05/2021,Wuzo,South Korea,,,,,,,M,2021.0,False
Chunji,Lee Chanhee,이찬희,천지,5/10/1993,Teen Top,9/07/2010,TOP Media,South Korea,,,,Seongnam,,,M,2010.0,False
Chuu,Kim Jiwoo,김지우,츄,20/10/1999,LOONA,20/08/2018,Blockberry,South Korea,,,,Cheongju,Loona yyxy,,F,2018.0,False
CL,Lee Chaerin,이채린,씨엘,26/02/1991,2NE1,6/05/2009,YG,South Korea,,,,,,,F,2009.0,False
CNU,Shin Dongwoo,신동우,신우,16/06/1991,B1A4,19/04/2010,WM,South Korea,,182.0,64.0,Seoul,,,M,2010.0,False
Cory,Hong Joohyung,홍주현,코리,25/11/1990,24K,6/09/2012,Choeun,South Korea,USA,175.0,58.0,Daegu,,,M,2012.0,False
Cui Xiang,Cui Xiang,최상,최상,26/01/1995,BOTOPASS,26/08/2020,WKS ENE,China,,,,,,ILUV,F,2020.0,True
Cya,Lee Giwook,이기욱,키야,24/01/2000,Onewe,9/01/2019,RBW,South Korea,,,,,,MAS,M,2019.0,False
Cyan,Lee Chaeeun,이채은,시안,4/04/2001,bugAboo,25/10/2021,A team,South Korea,,,,Sanbon,,,F,2021.0,False
D.ana,Cho Eunae,조은애,디애나,10/09/1995,Sonamoo,29/12/2014,TS,South Korea,,170.0,,Seoul,,,F,2014.0,False
D.O.,Do Kyungsoo,도경수,디오,12/01/1993,EXO,8/04/2012,SM,South Korea,,173.0,60.0,Gyeonggi,,,M,2012.0,False
D1,Jang Dongil,장동일,디원,15/02/1998,DKB,3/02/2020,Brave,South Korea,,174.0,59.0,,,,M,2020.0,False
Dabi,Park Jiwon,박지원,다비,19/01/2000,AREAL,21/08/2020,JZ Factory,South Korea,,,,,,MIDNIGHT,F,2020.0,False
Daehwi,Lee Daehwi,이대휘,대휘,29/01/2001,AB6IX,22/05/2019,Brand New,South Korea,,,,Seoul,,Wanna One,M,2019.0,False
Daehyeon,Jang Daehyeon,장대현,대현,11/02/1997,WEi,5/10/2020,OUI,South Korea,,175.0,,,,RAINZ,M,2020.0,False
Daehyun,Jung Daehyun,정대현,대현,28/06/1993,B.A.P,27/01/2012,TS,South Korea,,177.0,63.0,Busan,,,M,2012.0,False
Daesung,Daesung,강대성,대성,26/04/1989,BIGBANG,19/08/2006,YG,South Korea,,178.0,63.0,Incheon,,,M,2006.0,False
Daeun,Jung Daeun,정다은,정다은,3/06/1994,2EYES,20/07/2013,SidusHQ,South Korea,,161.0,,Bucheon,,,F,2013.0,False
Daewang Nim,Daewang Nim,대왕님,대왕님,8/04/1996,Pink Fantasy,28/10/2018,My Doll,South Korea,,162.0,49.0,,,,F,2018.0,False
Daeyeol,Lee Daeyeol,이대열,대열,11/02/1993,Golden Child,28/08/2017,Woollim,South Korea,,,,Yongin,,,M,2017.0,False
Dahyun,Jeong Dahyun,정다현,다현,29/04/2005,Rocket Punch,7/08/2019,Woollim,South Korea,,160.0,,,,,F,2019.0,False
Dahyun,Seo Dahyun,서다현,다현,8/01/2003,tripleS,13/02/2023,MODHAUS,South Korea,,160.0,,Busan,,,F,2023.0,False
Dahyun,Kim Dahyun,김다현,다현,28/05/1998,Twice,20/10/2015,JYP,South Korea,,165.0,,Seongnam,,,F,2015.0,False
Dain,Jung Dain,정다인,다인,15/12/2004,HOT ISSUE,17/05/2017,FNC,South Korea,,,,,,,F,2017.0,False
Dajeong,Kim Dajeong,김다정,다정,8/08/1995,Hash Tag,11/10/2017,LUK,South Korea,,170.0,,Gwangju,,,F,2017.0,False
Dajeong,Jung Dajeong,정다정,다정,31/07/2003,Pixy,24/02/2021,ALLART,South Korea,,157.0,42.0,,,,F,2021.0,False
Dakyung,Jung Dakyung,정다경,다경,23/07/2001,Hi-L,11/08/2021,Kpop Live,South Korea,,,,,,,F,2021.0,False
Dalyn,Lee Sohyun,이소현,달린,27/08/1999,ANS,16/09/2019,ANS,South Korea,,,,,,,F,2019.0,False
Damhee,Park Damhee,박담희,담희,21/06/2000,ARTBEAT,16/11/2022,AB Creative,South Korea,,,,,,,F,2022.0,False
Dami,Hong Dayoung,홍다영,담이,7/06/2001,ANS,16/09/2019,ANS,South Korea,,,,,,,F,2019.0,False
Dami,Lee Yoobin,이유빈,다미,7/03/1997,Dreamcatcher,13/01/2017,Happy Face,South Korea,,163.0,,Seoul,,Minx,F,2017.0,False
Damin,Kang Damin,강다민,다민,24/03/2004,Queenz Eye,24/10/2022,Big Mountain,South Korea,,166.0,42.0,Seoul,,,F,2022.0,False
Damon,Hu Boohan,후보한,데이먼,2/07/1996,VARSITY,5/01/2017,GKC,China,,181.0,,,,,M,2017.0,True
Dana,Jang Dana,장다나,다나,25/12/2003,HOT ISSUE,17/05/2017,FNC,South Korea,,,,,,,F,2017.0,False
Dan-a,Park Seungyeon,박승연,단아,26/06/1993,Matilda,18/03/2016,Box,South Korea,,,160.0,,,,F,2016.0,False
Daniel,Kang Daniel,강다니엘,다니엘,10/12/1996,Wanna One,7/08/2017,YMC,South Korea,,,,Busan,,,M,2017.0,False
Danielle,Mo Jihye,모지혜,다니엘,11/04/2005,NewJeans,22/07/2022,ADOR,South Korea,Australia,165.0,,Munsan,,,F,2022.0,False
Dann,Jung Seungbo,정승보,단,1/11/1997,Kingdom,18/02/2021,GF,South Korea,,178.0,,Ilsan,,VARSITY,M,2021.0,False
Dany,Jeon Eunji,전은지,다니,20/01/1998,Ho1iday,26/04/2013,LOEN,South Korea,,,,,,,F,2013.0,False
Daon,Ahn Seonil,안선일,다온,10/12/2000,DUSTIN,6/01/2020,LPA,South Korea,,,,,,,M,2020.0,False
Dara,Park Sandara,박산다라,다라,12/11/1984,2NE1,6/05/2009,YG,South Korea,,,,,,,F,2009.0,False
Daseul,Yang Daseul,양다슬,다슬,14/09/2000,Maka Maka,4/08/2020,Dreamus,South Korea,,,,,,,F,2020.0,False
Dasom,Lee Dasom,이다솜,다솜,13/11/1993,2EYES,20/07/2013,SidusHQ,South Korea,,164.0,,Cheongju,,,F,2013.0,False
Dasom,Kim Dasom,김다솜,다솜,6/05/1993,SISTAR,6/03/2010,Starship,South Korea,,,,,,,F,2010.0,False
